0,q_no,response_no,q_text,q_responses,Q_weighting,indicator,output_name ,type (F/B),Rough Percent contribution ,Dependancies,checked,,
572,OF30,OF30_1,Road Density Within AA's Buffer,< 0.12 km/km2 ,0,SR,RdDens3v,Benefit,6,,1,,
573,OF30,OF30_2,Road Density Within AA's Buffer,0.12 – 0.30 km/km2 ,2,SR,RdDens3v,Benefit,6,,1,,
574,OF30,OF30_3,Road Density Within AA's Buffer,> 0.30 km/km2 ,3,SR,RdDens3v,Benefit,6,,1,,
575,OF41,OF41_1,Disturbed Percentage in the WAU,<10%,0,SR,Disturb3v,Benefit,3,,1,,
576,OF41,OF41_2,Disturbed Percentage in the WAU,10-20%,3,SR,Disturb3v,Benefit,3,,1,,
577,OF41,OF41_3,Disturbed Percentage in the WAU,20-30%,4,SR,Disturb3v,Benefit,3,,1,,
578,OF41,OF41_4,Disturbed Percentage in the WAU,30-40%,6,SR,Disturb3v,Benefit,3,,1,,
579,OF41,OF41_5,Disturbed Percentage in the WAU,>40%,8,SR,Disturb3v,Benefit,3,,1,,
580,OF42,OF42_1,Road Density in the WAU,<0.4 km/km2 ,0,SR,RdDensWAU3,Benefit,?,,1,,
581,OF42,OF42_2,Road Density in the WAU,0.4 – 1.2 km/km2 ,2,SR,RdDensWAU3,Benefit,?,,1,,
582,OF42,OF42_3,Road Density in the WAU,> 1.2 km/km2 ,3,SR,RdDensWAU3,Benefit,?,,1,,
583,F19,F19_1,Percent Always WITHOUT Surface Water,"<1%. In other words, all or nearly all of the AA is covered by water permanently or at least seasonally.  ",6,SR,Alldry3,Benefit,3,,1,,
584,F19,F19_2,Percent Always WITHOUT Surface Water,"1 to <25% of the AA,  or <1% but >0.01 hectare (e.g., 10 m x 10 m) never contains surface water.",4,SR,Alldry3,Benefit,3,,1,,
585,F19,F19_3,Percent Always WITHOUT Surface Water,25 to <50% of the AA never contains surface water.,3,SR,Alldry3,Benefit,3,,1,,
586,F19,F19_4,Percent Always WITHOUT Surface Water,50 to <75% of the AA never contains surface water.,2,SR,Alldry3,Benefit,3,,1,,
587,F19,F19_5,Percent Always WITHOUT Surface Water,"75 to <99% of the AA never contains surface water, or >99% AND there is at least one persistent or seasonal water body larger than 0.01 hectare (e.g., 10 m x 10 m) in the AA.",0,SR,Alldry3,Benefit,3,,1,,
588,F19,F19_6,Percent Always WITHOUT Surface Water,"99-100%. AND there is no persistent or seasonal water body larger than 0.01 hectare (~ 10 x 10 m) in the AA. Enter ""1"" and SKIP to F40 (Channel Network Connection).",0,SR,Alldry3,Benefit,3,,1,,
589,F39,F39_1,Water Colour,clear or slightly cloudy,0,SR,Colour3,Benefit,6,,1,,
590,F39,F39_2,Water Colour,stained reddish-brown,0,SR,Colour3,Benefit,6,,1,,
591,F39,F39_3,Water Colour,densely cloudy,1,SR,Colour3,Benefit,6,,1,,
592,F39,F39_4,Water Colour,indeterminate (surface water absent at time of visit),?,SR,Colour3,Benefit,6,,1,,
593,F42,F42_1,Tributary Channel or Floodplain,numeric,numeric,SR,Inflow3v,Benefit,3,,1,,
594, F50,F50_1,Vegetated Buffer along Perimeter,<5%.,5,SR,PerimPctPer3v,Benefit,3,,1,,
595, F50,F50_2,Vegetated Buffer along Perimeter,5 to 30%.,4,SR,PerimPctPer3v,Benefit,3,,1,,
596, F50,F50_3,Vegetated Buffer along Perimeter,30 to 60%.,3,SR,PerimPctPer3v,Benefit,3,,1,,
597, F50,F50_4,Vegetated Buffer along Perimeter,60 to 90%.,2,SR,PerimPctPer3v,Benefit,3,,1,,
598, F50,F50_5,Vegetated Buffer along Perimeter,">90%, or all the area within 30 m of the AA edge is other wetlands. ",1,SR,PerimPctPer3v,Benefit,3,,1,,
599,F51,F51_1,Type of Cover in Buffer,"Impervious surface, e.g., paved road, parking lot, building, exposed rock.",3,SR,BuffCovTyp3,Benefit,3,,1,,
600,F51,F51_2,Type of Cover in Buffer,"Bare or nearly bare pervious surface (e.g., unpaved road, dike, burned area, landslide), annual vegetation, row crops, or lawn.",2,SR,BuffCovTyp3,Benefit,3,,1,,
601,F51,F51_3,Type of Cover in Buffer,Neither. All areas within 30 m (or 50 m - if AA >5 ha) of the wetland edge lack impervious and bare pervious surfaces. SKIP to F53.,0,SR,BuffCovTyp3,Benefit,3,,1,,
602,F52,F52_1,Buffer Slope,"<1% (flat -- almost no noticeable slope), all the area within 30 m of the AA edge is other wetlands, or none of the disturbed buffer drains into the AA.",0,SR,BuffSlope3v,Benefit,3,,1,,
603,F52,F52_2,Buffer Slope,2-5%.,1,SR,BuffSlope3v,Benefit,3,,1,,
604,F52,F52_3,Buffer Slope,5-30%.,2,SR,BuffSlope3v,Benefit,3,,1,,
605,F52,F52_4,Buffer Slope,>30%.,3,SR,BuffSlope3v,Benefit,3,,1,,
606,F55,F55_1,Fire History,"Burned within past 5 years, and >50% of wetland-upland perimeter or area apparently burned, and burned intensely.",7,SR,Fire3,Benefit,6,,1,,
607,F55,F55_2,Fire History,"Burned within past 5 years, and >50% of wetland-upland perimeter or area apparently burned, and burned lightly.",6,SR,Fire3,Benefit,6,,1,,
608,F55,F55_3,Fire History,"Burned within past 5 years, and <50% of wetland-upland perimeter apparently burned, and burned intensely.",5,SR,Fire3,Benefit,6,,1,,
609,F55,F55_4,Fire History,"Burned within past 5 years, and <50% of wetland-upland perimeter apparently burned, and burned lightly.",4,SR,Fire3,Benefit,6,,1,,
610,F55,F55_5,Fire History,Burned 6-10 years ago.,2,SR,Fire3,Benefit,6,,1,,
611,F55,F55_6,Fire History,Burned 11-30 years ago.,1,SR,Fire3,Benefit,6,,1,,
612,F55,F55_7,Fire History,"Burned >30 years ago, or no evidence of a burn and no data.",0,SR,Fire3,Benefit,6,,1,,
613,S4,,Excessive Sediament Loading from Runoff Contributing Area),calculated score,numeric,SR,Sedin2,Benefit,6,,1,,
614,OF25,OF25_1,Local Climate Moisture Deficit,numeric,numeric,FR,Dryness7v,Benefit,16,,1,,
615,F1,????,Vegetation Height and Form Diversity ,numeric calculations ,numeric,FR,Conif7,Benefit,16,,1,,
616,F1,????,Vegetation Height and Form Diversity ,numeric calculations ,numeric,FR,WoodCov7,Function,50,,1,,
617,F15,F15_1,Percent Bare Ground,"Little or no (<5%) bare ground is visible between erect stems or under canopy anywhere in the vegetated AA. Ground is extensively blanketed by dense thatch, moss, lichens, graminoids with great stem densities, or plants with ground-hugging foliage. ",0,FR,Gcove8,Function,5,,1,,
618,F15,F15_2,Percent Bare Ground,"Ground that is more than 5% bare between erect stems or under canopy is visible in places, but those areas comprise < 5% of the unflooded parts of the AA.",0,FR,Gcove8,Function,5,,1,,
619,F15,F15_3,Percent Bare Ground,Ground that is more than 5% bare between erect stems or under canopy comprises > 5% of the unflooded parts of the AA.,1,FR,Gcove8,Function,5,,1,,
620,F15,F15_4,Percent Bare Ground,Other conditions.,?,FR,Gcove8,Function,5,,1,,
621,OF39,OF39_1,Closed Coniferous Within the AA plus 100m buffer,<0.20 (<20%),4,FR,Conif7,Function ,not used,,1,notused,
622,OF39,OF39_2,Closed Coniferous Within the AA plus 100m buffer,0.20 - 0.47,3,FR,Conif7,Function ,not used,,1,notused,
623,OF39,OF39_3,Closed Coniferous Within the AA plus 100m buffer,0.48 - 0.69,2,FR,Conif7,Function ,not used,,1,notused,
624,OF39,OF39_4,Closed Coniferous Within the AA plus 100m buffer,0.70 - 0.90,1,FR,Conif7,Function ,not used,,1,notused,
625,OF39,OF39_5,Closed Coniferous Within the AA plus 100m buffer,>0.90,0,FR,Conif7,Function ,not used,,1,notused,
626,F19,F19_1,Percent Always WITHOUT Surface Water,"<1%. In other words, all or nearly all of the AA is covered by water permanently or at least seasonally.  ",8,FR,SatPct7,Function,10,,1,,
627,F19,F19_2,Percent Always WITHOUT Surface Water,"1 to <25% of the AA,  or <1% but >0.01 hectare (e.g., 10 m x 10 m) never contains surface water.",4,FR,SatPct7,Function,10,,1,,
628,F19,F19_3,Percent Always WITHOUT Surface Water,25 to <50% of the AA never contains surface water.,3,FR,SatPct7,Function,10,,1,,
629,F19,F19_4,Percent Always WITHOUT Surface Water,50 to <75% of the AA never contains surface water.,2,FR,SatPct7,Function,10,,1,,
630,F19,F19_5,Percent Always WITHOUT Surface Water,"75 to <99% of the AA never contains surface water, or >99% AND there is at least one persistent or seasonal water body larger than 0.01 hectare (e.g., 10 m x 10 m) in the AA.",1,FR,SatPct7,Function,10,,1,,
631,F19,F19_6,Percent Always WITHOUT Surface Water,"99-100%. AND there is no persistent or seasonal water body larger than 0.01 hectare (~ 10 x 10 m) in the AA. Enter ""1"" and SKIP to F40 (Channel Network Connection).",0,FR,SatPct7,Function,10,,1,,
632,F31,F31_1,Open Water Extent,"none, or <0.01 hectare. Enter ""1"" and SKIP to F37 (Inundated Erect Vegetation).",0,FR,OpenW7,Function,10,"NeverWater, NoPersis, NoDeepPonded",1,,
633,F31,F31_2,Open Water Extent,0.01 - 0.10 hectares ,1,FR,OpenW7,Function,10,"NeverWater, NoPersis, NoDeepPonded",1,,
634,F31,F31_3,Open Water Extent,0.10 - 1.00 hectares,2,FR,OpenW7,Function,10,"NeverWater, NoPersis, NoDeepPonded",1,,
635,F31,F31_4,Open Water Extent,1 - 10 hectares,3,FR,OpenW7,Function,10,"NeverWater, NoPersis, NoDeepPonded",1,,
636,F31,F31_5,Open Water Extent,10 - 100 hectares,5,FR,OpenW7,Function,10,"NeverWater, NoPersis, NoDeepPonded",1,,
637,F31,F31_6,Open Water Extent,> 100 hectares,8,FR,OpenW7,Function,10,"NeverWater, NoPersis, NoDeepPonded",1,,
,F22,F22_1,Fringe Wetland ,binary 1 or 0,,FR,Fringe7,Function,,AllSat1,1,,
,F23,F23_1,Lacustrine Wetland,numeric,,FR,Lake7,Function,,,1,,
,F21,F21_1,Percent with Persistent Surface Water ,"None, and the entire AA lacks surface water during most years (except for a few hours after storms, brief river flooding, or snowmelt).",0,FR,??,Function,,,no name,notused?,
,F21,F21_2,Percent with Persistent Surface Water ,"None, but parts of the AA have surface water for >3 consecutive weeks during most years.",1,FR,??,Function,,,no name,notused?,
,F21,F21_3,Percent with Persistent Surface Water ,1-20% of the AA still contains surface water during driest times of a normal year.,2,FR,??,Function,,,no name,notused?,
,F21,F21_4,Percent with Persistent Surface Water ,20-50% of the AA still contains surface water during driest times of a normal year.,3,FR,??,Function,,,no name,notused?,
,F21,F21_5,Percent with Persistent Surface Water ,50-95% of the AA still contains surface water during driest times of a normal year.,4,FR,??,Function,,,no name,notused?,
,F21,F21_6,Percent with Persistent Surface Water ,>95% of the AA. True for many fringe wetlands.,5,FR,??,Function,,,no name,notused?,
638,F32,F32_1,Distance across longest open water (fetch) ,<10 m.,0,FR,Fetch7,Function,10,"NeverWater, NoPersis, NoOW, NoDeepPonded",1,,
639,F32,F32_2,Distance across longest open water (fetch) ,10 - 30 m.,1,FR,Fetch7,Function,10,"NeverWater, NoPersis, NoOW, NoDeepPonded",1,,
640,F32,F32_3,Distance across longest open water (fetch) ,30 - 100 m.,2,FR,Fetch7,Function,10,"NeverWater, NoPersis, NoOW, NoDeepPonded",1,,
641,F32,F32_4,Distance across longest open water (fetch) ,100 - 200 m.,3,FR,Fetch7,Function,10,"NeverWater, NoPersis, NoOW, NoDeepPonded",1,,
642,F32,F32_5,Distance across longest open water (fetch) ,200 - 500 m.,5,FR,Fetch7,Function,10,"NeverWater, NoPersis, NoOW, NoDeepPonded",1,,
643,F32,F32_6,Distance across longest open water (fetch) ,> 500 m.,8,FR,Fetch7,Function,10,"NeverWater, NoPersis, NoOW, NoDeepPonded",1,,
644,F55,F55_1,Fire History,"Burned within past 5 years, and >50% of wetland-upland perimeter or area apparently burned, and burned intensely.",8,FR,Fire7,Function,5,,1,,
645,F55,F55_2,Fire History,"Burned within past 5 years, and >50% of wetland-upland perimeter or area apparently burned, and burned lightly.",7,FR,Fire7,Function,5,,1,,
646,F55,F55_3,Fire History,"Burned within past 5 years, and <50% of wetland-upland perimeter apparently burned, and burned intensely.",6,FR,Fire7,Function,5,,1,,
647,F55,F55_4,Fire History,"Burned within past 5 years, and <50% of wetland-upland perimeter apparently burned, and burned lightly.",5,FR,Fire7,Function,5,,1,,
648,F55,F55_5,Fire History,Burned 6-10 years ago.,3,FR,Fire7,Function,5,,1,,
649,F55,F55_6,Fire History,Burned 11-30 years ago.,1,FR,Fire7,Function,5,,1,,
650,F55,F55_7,Fire History,"Burned >30 years ago, or no evidence of a burn and no data.",0,FR,Fire7,Function,5,,1,,
651,OF21,OF21_1,Ecological Designation ,Binary (0/1),binary,PD,Refuge15,Function,,,,,
,OF12,OF12_1,Unvegetated Surface in the WAU,<10%.,4,APP,UnvegCA8,Function,,,1,,
,OF12,OF12_2,Unvegetated Surface in the WAU,10 to 25%.,1,APP,UnvegCA8,Function,,,1,,
,OF12,OF12_3,Unvegetated Surface in the WAU,>25%.,0,APP,UnvegCA8,Function,,,1,,
652,OF20,OF20_1,Fish Occurrence,"Chinook (wild, not stocked) are present in AA (enter ""3""), or in connected parts of same watershed within 5 miles (enter ""2""), or in other connected parts of the same watershed (enter ""1"").",3,APP,AnadF7,Function,3,,1,should this be AnasF8,
653,OF20,OF20_2,Fish Occurrence,"Chum  (wild, not stocked) are present in AA (enter ""3""), or in connected parts of same watershed within 5 miles (enter ""2""), or in other connected parts of the same watershed (enter ""1"").",3,APP,AnadF7,Function,3,,1,should this be AnasF8,
654,OF20,OF20_3,Fish Occurrence,"Coho/Silver (wild, not stocked)  are present in AA (enter ""3""), or in connected parts of same watershed within 5 miles (enter ""2""), or in other connected parts of the same watershed (enter ""1"").",3,APP,AnadF7,Function,3,,1,should this be AnasF8,
655,OF20,OF20_4,Fish Occurrence,"None of above, but other fish species are likely present in AA.  Or a stream connects the AA to other waters and is not known to be fishless (enter ""1"").",1,APP,AnadF7,Function,3,,1,should this be AnasF8,
656,OF20,OF20_5,Fish Occurrence,"Is known or likely to be fishless (e.g., too small, dry, and/or not accessible even temporarily, and not stocked). ",0,APP,AnadF7,Function,3,,1,should this be AnasF8,
657,OF25,OF25_1,Local Climate Moisture Deficit,numeric,numeric,APP,WetDef8,Function,3,,1,,
658,OF26,OF26_1,Degree Days Index,numeric,numeric,APP,DegreeD8,Function,3,,1,,
659,OF27,OF27_1,Local Solar Input,numeric,numeric,APP,Solar8,Function,3,,1,,
660,OF28,OF28_1,Site Index,<6.3,0,APP,Sindex8,Function,3,,1,,
661,OF28,OF28_2,Site Index,6.3 - 9.5,2,APP,Sindex8,Function,3,,1,,
662,OF28,OF28_3,Site Index,9.6 - 13.3,3,APP,Sindex8,Function,3,,1,,
663,OF28,OF28_4,Site Index,13.4 - 18.5,4,APP,Sindex8,Function,3,,1,,
664,OF28,OF28_5,Site Index,>18.5,6,APP,Sindex8,Function,3,,1,,
665,OF38,OF38_1,Deciduous within the AA plus 100m buffer,<0.06 (<6%),0,APP,Decid8,Function,3,,1,,
666,OF38,OF38_2,Deciduous within the AA plus 100m buffer,0.06 - 0.20,2,APP,Decid8,Function,3,,1,,
667,OF38,OF38_3,Deciduous within the AA plus 100m buffer,0.21 - 0.39,3,APP,Decid8,Function,3,,1,,
668,OF38,OF38_4,Deciduous within the AA plus 100m buffer,0.40 - 0.66,4,APP,Decid8,Function,3,,1,,
669,OF38,OF38_5,Deciduous within the AA plus 100m buffer,>0.66,6,APP,Decid8,Function,3,,1,,
670,OF41,OF41_1,Disturbed Percentage in the WAU,<10%,6,APP,Disturb8,Function,3,,1,,
671,OF41,OF41_2,Disturbed Percentage in the WAU,10-20%,4,APP,Disturb8,Function,3,,1,,
672,OF41,OF41_3,Disturbed Percentage in the WAU,20-30%,3,APP,Disturb8,Function,3,,1,,
673,OF41,OF41_4,Disturbed Percentage in the WAU,30-40%,2,APP,Disturb8,Function,3,,1,,
674,OF41,OF41_5,Disturbed Percentage in the WAU,>40%,0,APP,Disturb8,Function,3,,1,,
675,F1,F1_1,Vegetation Height and Form Diversity ,coniferous (including tamarack) taller than 3 meters.,0,APP,DecidTree8,Function,3,,1,,
676,F1,F1_2,Vegetation Height and Form Diversity ,deciduous taller than 3 m,3,APP,DecidTree8,Function,3,,1,,
677,F1,F1_3,Vegetation Height and Form Diversity ,"coniferous or evergreen 1-3 m tall (e.g., stunted black spruce)",1,APP,DecidTree8,Function,3,,1,,
678,F1,F1_4,Vegetation Height and Form Diversity ,deciduous 1-3 m tall ,4,APP,DecidTree8,Function,3,,1,,
679,F1,F1_5,Vegetation Height and Form Diversity ,"coniferous or evergreen <1 m tall (e.g., many ericaceous shrub species)",2,APP,DecidTree8,Function,3,,1,,
680,F1,F1_6,Vegetation Height and Form Diversity ,"deciduous <1 m tall (e.g., deciduous tree seedlings) ",5,APP,DecidTree8,Function,3,,1,,
681,F14,F14_1,N Fixers,<1% or none.,0,APP,Nfix8,Function,3,,1,,
682,F14,F14_2,N Fixers,"1-25% of the vegetated cover, in the AA or along its water edge (whichever has more).",2,APP,Nfix8,Function,3,,1,,
683,F14,F14_3,N Fixers,"25-50% of the vegetated cover, in the AA or along its water edge (whichever has more).",3,APP,Nfix8,Function,3,,1,,
684,F14,F14_4,N Fixers,"50-75% of the vegetated cover, in the AA or along its water edge (whichever has more).",4,APP,Nfix8,Function,3,,1,,
685,F14,F14_5,N Fixers,">75% of the vegetated cover, in the AA or along its water edge (whichever has more).",5,APP,Nfix8,Function,3,,1,,
,F15,F15_1,Percent Bare Ground,"Little or no (<5%) bare ground is visible between erect stems or under canopy anywhere in the vegetated AA. Ground is extensively blanketed by dense thatch, moss, lichens, graminoids with great stem densities, or plants with ground-hugging foliage. ",2,APP,Gcover8,Function,,,1,,
,F15,F15_2,Percent Bare Ground,"Ground that is more than 5% bare between erect stems or under canopy is visible in places, but those areas comprise < 5% of the unflooded parts of the AA.",3,APP,Gcover8,Function,,,1,,
,F15,F15_3,Percent Bare Ground,Ground that is more than 5% bare between erect stems or under canopy comprises > 5% of the unflooded parts of the AA.,1,APP,Gcover8,Function,,,1,,
,F15,F15_4,Percent Bare Ground,Other conditions.,0,APP,Gcover8,Function,,,1,,
,F15,F15_5,Percent Bare Ground,Not applicable. Surface water (either open or obscured by emergent plants) covers all of the AA all the time.,,APP,Gcover8,Function,,,1,,
686,F17,F17_1,Soil SurfaceTexture,"Loamy: soils that may contain a little fine grit and do not make a ""ribbon"" longer than 2 cm when moistened, rolled, squeezed, and extended between thumb and forefinger.",4,APP,SoilTex8,Function,3,,1,,
687,F17,F17_2,Soil SurfaceTexture,"Fines: includes silt, clay, silt, soils that make a ribbon longer than 2 cm when moistened, rolled, squeezed, and extended between thumb and forefinger.",2,APP,SoilTex8,Function,3,,1,,
688,F17,F17_3,Soil SurfaceTexture,"Peat, to 40 cm depth or greater.",3,APP,SoilTex8,Function,3,,1,,
689,F17,F17_4,Soil SurfaceTexture,Peat or decomposed organic <40 cm deep. ,3,APP,SoilTex8,Function,3,,1,,
690,F17,F17_5,Soil SurfaceTexture,"Coarse: includes sand, loamy sand, gravel, cobble, soils that do not make a ribbon when moistened, rolled, squeezed, and extended between thumb and forefinger.",0,APP,SoilTex8,Function,3,,1,,
691,F19,F19_1,Percent Always WITHOUT Surface Water,"<1%. In other words, all or nearly all of the AA is covered by water permanently or at least seasonally.  ",6,APP,DryPct8,Function,10,,1,,
692,F19,F19_2,Percent Always WITHOUT Surface Water,"1 to <25% of the AA,  or <1% but >0.01 hectare (e.g., 10 m x 10 m) never contains surface water.",5,APP,DryPct8,Function,10,,1,,
693,F19,F19_3,Percent Always WITHOUT Surface Water,25 to <50% of the AA never contains surface water.,4,APP,DryPct8,Function,10,,1,,
694,F19,F19_4,Percent Always WITHOUT Surface Water,50 to <75% of the AA never contains surface water.,3,APP,DryPct8,Function,10,,1,,
695,F19,F19_5,Percent Always WITHOUT Surface Water,"75 to <99% of the AA never contains surface water, or >99% AND there is at least one persistent or seasonal water body larger than 0.01 hectare (e.g., 10 m x 10 m) in the AA.",2,APP,DryPct8,Function,10,,1,,
696,F19,F19_6,Percent Always WITHOUT Surface Water,"99-100%. AND there is no persistent or seasonal water body larger than 0.01 hectare (~ 10 x 10 m) in the AA. Enter ""1"" and SKIP to F40 (Channel Network Connection).",0,APP,DryPct8,Function,10,,1,,
697,F20,F20_1,Percent flooded only seasonally ,"None, or <0.01 hectare and <1% of the AA. ",1,APP,SeasPct8,Function,3,NeverWater,1,,
698,F20,F20_2,Percent flooded only seasonally ,"1-20% of the AA, or <1% but >0.01 hectare",3,APP,SeasPct8,Function,3,NeverWater,1,,
699,F20,F20_3,Percent flooded only seasonally ,20-50% of the AA.,3,APP,SeasPct8,Function,3,NeverWater,1,,
700,F20,F20_4,Percent flooded only seasonally ,50-95% of the AA.,2,APP,SeasPct8,Function,3,NeverWater,1,,
701,F20,F20_5,Percent flooded only seasonally ,>95% of the AA. ,0,APP,SeasPct8,Function,3,NeverWater,1,,
702,F24,F24_1,Percent Summertime Water that is shadded,"<5% of the water is shaded, or no surface water is present then.",5,APP,Shade8,Function,3,"NeverWater, NoPersis",1,,
703,F24,F24_2,Percent Summertime Water that is shadded,5-25% of the water is shaded.,4,APP,Shade8,Function,3,"NeverWater, NoPersis",1,,
704,F24,F24_3,Percent Summertime Water that is shadded,25-50% of the water is shaded.,3,APP,Shade8,Function,3,"NeverWater, NoPersis",1,,
705,F24,F24_4,Percent Summertime Water that is shadded,50-75% of the water is shaded.,1,APP,Shade8,Function,3,"NeverWater, NoPersis",1,,
706,F24,F24_5,Percent Summertime Water that is shadded,>75% of the water is shaded.,0,APP,Shade8,Function,3,"NeverWater, NoPersis",1,,
707,F25,F25_1,Surface Water Fluctuation Range ,<10 cm change (stable or nearly so).,0,APP,Fluctu8,Function,3,"NeverWater, NoPersis",1,,
708,F25,F25_2,Surface Water Fluctuation Range ,10 cm - 50 cm change.,2,APP,Fluctu8,Function,3,"NeverWater, NoPersis",1,,
709,F25,F25_3,Surface Water Fluctuation Range ,0.5 - 1 m change.,3,APP,Fluctu8,Function,3,"NeverWater, NoPersis",1,,
710,F25,F25_4,Surface Water Fluctuation Range ,1-2 m change.,4,APP,Fluctu8,Function,3,"NeverWater, NoPersis",1,,
711,F25,F25_5,Surface Water Fluctuation Range ,>2 m change.,1,APP,Fluctu8,Function,3,"NeverWater, NoPersis",1,,
712,F26,F26_1,Predominant Depth Class,<10 cm deep (but >0).,2,APP,DepthDom8,Function,3,"NeverWater, NoPersis",1,,
713,F26,F26_2,Predominant Depth Class,10 - 50 cm deep.,4,APP,DepthDom8,Function,3,"NeverWater, NoPersis",1,,
714,F26,F26_3,Predominant Depth Class,0.5 - 1 m deep.,3,APP,DepthDom8,Function,3,"NeverWater, NoPersis",1,,
715,F26,F26_4,Predominant Depth Class,1 - 2 m deep.,1,APP,DepthDom8,Function,3,"NeverWater, NoPersis",1,,
716,F26,F26_5,Predominant Depth Class,>2 m deep. True for many fringe wetlands.,0,APP,DepthDom8,Function,3,"NeverWater, NoPersis",1,,
717,F35,F35_1,Interspersion of inundated Vegetationand Open water,"Scattered. More than 30% of the inundated vegetation forms small islands or corridors surrounded by water, or more than 30% of the open water is in patches scattered widely amidst the vegetation.",4,APP,Interspers8,Function,3,"NeverWater, NoPersis, NoDeepPonded",1,,
718,F35,F35_2,Interspersion of inundated Vegetationand Open water,Intermediate.,3,APP,Interspers8,Function,3,"NeverWater, NoPersis, NoDeepPonded",1,,
719,F35,F35_3,Interspersion of inundated Vegetationand Open water,Clumped. More than 70% of the inundated vegetation is in rings surrounding open water or is clumped at one or a few sides of the open water areas.,1,APP,Interspers8,Function,3,"NeverWater, NoPersis, NoDeepPonded",1,,
720,F35,F35_4,Interspersion of inundated Vegetationand Open water,"Uniform. There is almost no open water, or almost no vegetation.",0,APP,Interspers8,Function,3,"NeverWater, NoPersis, NoDeepPonded",1,,
721,F37,F37_1,Inundated Erect Vegetation,<1% of the AA.,0,APP,EmArea8,Function,3,"NeverWater, NoPersis",1,,
722,F37,F37_2,Inundated Erect Vegetation,1-20% of the AA,2,APP,EmArea8,Function,3,"NeverWater, NoPersis",1,,
723,F37,F37_3,Inundated Erect Vegetation,20 - 40% of the AA,3,APP,EmArea8,Function,3,"NeverWater, NoPersis",1,,
724,F37,F37_4,Inundated Erect Vegetation,40 - 60% of the AA.,4,APP,EmArea8,Function,3,"NeverWater, NoPersis",1,,
725,F37,F37_5,Inundated Erect Vegetation,60 - 90% of the AA,6,APP,EmArea8,Function,3,"NeverWater, NoPersis",1,,
726,F37,F37_6,Inundated Erect Vegetation,">90%, of the AA.",7,APP,EmArea8,Function,3,"NeverWater, NoPersis",1,,
727,F38,F38_1,Submerged & Floating-leaved Aquatics,"Are present, and are so extensive they choke most channels or open water areas in late summer",3,APP,SAVpct8,Function,3,"NeverWater, NoPersis",1,,
728,F38,F38_2,Submerged & Floating-leaved Aquatics,"Are present, but not choking most channels or open water areas in late summer",2,APP,SAVpct8,Function,3,"NeverWater, NoPersis",1,,
729,F38,F38_3,Submerged & Floating-leaved Aquatics,Absent or trace,0,APP,SAVpct8,Function,3,"NeverWater, NoPersis",1,,
730,F39,F39_1,Water Colour,clear or slightly cloudy,3,APP,color8,Function,3,"NeverWater, NoPersis",1,,
731,F39,F39_2,Water Colour,stained reddish-brown,1,APP,color8,Function,3,"NeverWater, NoPersis",1,,
732,F39,F39_3,Water Colour,densely cloudy,0,APP,color8,Function,3,"NeverWater, NoPersis",1,,
733,F39,F39_4,Water Colour,indeterminate (surface water absent at time of visit),?,APP,color8,Function,3,"NeverWater, NoPersis",1,,
734,F42,F42_1,Tributary Channel or Floodplain,numeric,numeric,APP,Inflow8,Function,3,,1,,
735,F40,F40_1,Channel Connection and Outflow Duration,"Perennial (surface water flows out during the entire growing season, most years).",3,APP,OutDur8,Function,5,Outmap8,1,,
736,F40,F40_2,Channel Connection and Outflow Duration,"Seasonal (surface water flows out for >3 consecutive weeks but not for the entire growing season, most years).",4,APP,OutDur8,Function,5,Outmap8,1,,
737,F40,F40_3,Channel Connection and Outflow Duration,"Temporary (surface water flows out for <3 consecutive weeks, most years)",2,APP,OutDur8,Function,5,Outmap8,1,,
738,F40,F40_4,Channel Connection and Outflow Duration,"None -- but maps show a stream network downslope from the AA and within a distance that is less than the AA's longest dimension. Enter ""1"" and SKIP to F45 (pH Measure).",0,APP,OutDur8,Function,5,Outmap8,1,,
739,F40,F40_5,Channel Connection and Outflow Duration,"No surface water flows out of the wetland except possibly during extreme events (<once per 10 years). Or, water flows only into a wetland, ditch, or lake that lacks an outlet. . Enter ""1"" and SKIP to F45 (pH Measure).",0,APP,OutDur8,Function,5,Outmap8,1,,
740,F47,F47_1,Groundwater Input Probability,"Springs are known to be present within the AA; or most of the AA was excavated below the usual water table level; or iron floc is extensive, or thermal and chemical properties of water strongly suggest substantial groundwater input.",3,APP,Groundw8,Function,3,,1,,
741,F47,F47_2,Groundwater Input Probability,"Most of the AA has a slope of >5%, or is very close to the base of a natural slope longer than the maximum dimension of the AA and much steeper than the slope of the AA, OR, if measured, surface water has pH >6.5 and conductivity of >300 µS/cm or TDS of >200 mg/L (ppm). Moss cover, if any, not dominated by Sphagnum. And not a hot spring. Common plants may include ones associated with fen wetlands, e.g., Menyanthes, Potentilla palustris, Equisetum fluviatile.",2,APP,Groundw8,Function,3,,1,,
742,F47,F47_3,Groundwater Input Probability,"Neither of above is true, although groundwater may discharge to or flow through the AA. Or groundwater influx is unknown.",0,APP,Groundw8,Function,3,,1,,
,F45,F45_1,pH Measurement,numeric,,APP,Acidic8,Function,,,1,,
743,F46a,F46_1,Conductivity,numeric,numeric,APP,Conductiv8,Function,5,,1,,
744,F46b,F46_2,TDS,numeric,numeric,APP,TDSapp8,Function,5,,1,,
